nb_trawlers,fish_stock,capture,income,price,fleet_maintenance_cost,capital,net_profit
10,0.0,0.0,0.0,1.0,0.0,100.0,0.0
10,5773.007235686556,0.0,0.0,1.0,7.5,92.5,-7.5
10,6280.369886898347,11.2,11.2,1.0,7.5,96.2,3.6999999999999993
10,6046.038698709495,11.2,11.2,1.0,7.5,99.9,3.6999999999999993
10,5887.835714471551,11.2,11.2,1.0,7.5,103.60000000000001,3.6999999999999993
10,5749.850325869306,10.88009325985743,10.88009325985743,1.0,7.5,106.98009325985744,3.3800932598574303
10,5643.574588796324,11.2,11.2,1.0,7.5,110.68009325985744,3.6999999999999993
10,5549.674055084548,11.2,11.2,1.0,7.5,114.38009325985745,3.6999999999999993
10,5480.290604371161,11.2,11.2,1.0,7.5,118.08009325985745,3.6999999999999993
10,5423.8683227986285,11.2,11.2,1.0,7.5,121.78009325985745,3.6999999999999993
10,5372.216853070871,15.999999999999998,15.999999999999998,1.0,7.5,130.28009325985744,8.499999999999998
10,5332.485422914196,13.806891032051807,13.806891032051807,1.0,7.5,136.58698429190923,6.306891032051807
10,5298.646578961139,15.999999999999998,15.999999999999998,1.0,7.5,145.08698429190923,8.499999999999998
10,5276.074136490934,15.999999999999998,15.999999999999998,1.0,7.5,153.58698429190923,8.499999999999998
10,5262.738856796563,15.999999999999998,15.999999999999998,1.0,7.5,162.08698429190923,8.499999999999998
10,5249.804807940125,15.999999999999998,15.999999999999998,1.0,7.5,170.58698429190923,8.499999999999998
10,5237.32545408635,15.038112393789067,15.038112393789067,1.0,7.5,178.1250966856983,7.538112393789067
10,5230.61601262686,15.999999999999998,15.999999999999998,1.0,7.5,186.6250966856983,8.499999999999998
10,5214.263404830365,14.655397681060563,14.655397681060563,1.0,7.5,193.7804943667589,7.155397681060563
10,5201.7608811218115,15.999999999999998,15.999999999999998,1.0,7.5,202.2804943667589,8.499999999999998
10,5185.013277808874,15.999999999999998,15.999999999999998,1.0,7.5,210.7804943667589,8.499999999999998
10,5152.36833469956,15.999999999999998,15.999999999999998,1.0,7.5,219.2804943667589,8.499999999999998
10,5120.521788184712,15.183549677871454,15.183549677871454,1.0,7.5,226.96404404463033,7.683549677871454
10,5096.304900049364,15.999999999999998,15.999999999999998,1.0,7.5,235.46404404463033,8.499999999999998
10,5077.488075420258,15.999999999999998,15.999999999999998,1.0,7.5,243.96404404463033,8.499999999999998
10,5061.640933079961,15.999999999999998,15.999999999999998,1.0,7.5,252.46404404463033,8.499999999999998
10,5049.842024559716,15.999999999999998,15.999999999999998,1.0,7.5,260.9640440446303,8.499999999999998
10,5032.408097545242,15.38049343212276,15.38049343212276,1.0,7.5,268.8445374767531,7.88049343212276
10,5019.058760044845,15.999999999999998,15.999999999999998,1.0,7.5,277.3445374767531,8.499999999999998
10,5011.612195605347,15.999999999999998,15.999999999999998,1.0,7.5,285.8445374767531,8.499999999999998
10,5008.436247060876,15.999999999999998,15.999999999999998,1.0,7.5,294.3445374767531,8.499999999999998
10,5003.206738205529,15.733483653273192,15.733483653273192,1.0,7.5,302.5780211300263,8.233483653273192
10,5002.828326000778,15.999999999999998,15.999999999999998,1.0,7.5,311.0780211300263,8.499999999999998
10,5010.667574819575,15.999999999999998,15.999999999999998,1.0,7.5,319.5780211300263,8.499999999999998
10,5016.328758938776,15.999999999999998,15.999999999999998,1.0,7.5,328.0780211300263,8.499999999999998
10,5022.375611231923,15.999999999999998,15.999999999999998,1.0,7.5,336.5780211300263,8.499999999999998
10,5031.182796413128,15.999999999999998,15.999999999999998,1.0,7.5,345.0780211300263,8.499999999999998
10,5044.294997143253,15.999999999999998,15.999999999999998,1.0,7.5,353.5780211300263,8.499999999999998
10,5058.153633812158,15.63846922261679,15.63846922261679,1.0,7.5,361.71649035264306,8.13846922261679
10,5067.685258043194,15.999999999999998,15.999999999999998,1.0,7.5,370.21649035264306,8.499999999999998
10,5076.944144044425,14.562862330711244,14.562862330711244,1.0,7.5,377.2793526833543,7.062862330711244
10,5089.079014355499,15.999999999999998,15.999999999999998,1.0,7.5,385.7793526833543,8.499999999999998
10,5094.9987601636885,14.537821319316853,14.537821319316853,1.0,7.5,392.81717400267115,7.037821319316853
10,5072.280467598607,15.999999999999998,15.999999999999998,1.0,7.5,401.31717400267115,8.499999999999998
10,5047.041361646637,15.999999999999998,15.999999999999998,1.0,7.5,409.81717400267115,8.499999999999998
10,5031.079845747327,15.803216206917618,15.803216206917618,1.0,7.5,418.1203902095888,8.303216206917618
10,5020.477531891499,14.717134493071184,14.717134493071184,1.0,7.5,425.33752470265995,7.217134493071184
10,5026.932381363112,15.999999999999998,15.999999999999998,1.0,7.5,433.83752470265995,8.499999999999998
10,4998.9714016391745,15.999999999999998,15.999999999999998,1.0,7.5,442.33752470265995,8.499999999999998
10,4977.868719396722,15.999999999999998,15.999999999999998,1.0,7.5,450.83752470265995,8.499999999999998
10,4960.115237845451,15.999999999999998,15.999999999999998,1.0,7.5,459.33752470265995,8.499999999999998
10,4955.873100244591,15.999999999999998,15.999999999999998,1.0,7.5,467.83752470265995,8.499999999999998
10,4955.444079419032,15.999999999999998,15.999999999999998,1.0,7.5,476.33752470265995,8.499999999999998
10,4955.104149394227,15.999999999999998,15.999999999999998,1.0,7.5,484.83752470265995,8.499999999999998
10,4959.237623339569,15.999999999999998,15.999999999999998,1.0,7.5,493.33752470265995,8.499999999999998
10,4937.797450958987,15.999999999999998,15.999999999999998,1.0,7.5,501.83752470265995,8.499999999999998
