nb_trawlers,fish_stock,capture,income,price,fleet_maintenance_cost,capital
26,9481.705364009178,114.14122198685301,246.49736002634762,5.0,520.0,-11690.576860131927
26,9387.800220413585,100.0,570.7061099342651,5.0,520.0,-11639.870750197662
26,9306.472579685502,120.0,500.0,5.0,520.0,-11659.870750197662
26,9222.701013122023,120.0,600.0,5.0,520.0,-11579.870750197662
26,9149.322874283802,84.76041084430753,600.0,5.0,520.0,-11499.870750197662
26,9121.107195747387,118.77465516651353,423.80205422153773,5.0,520.0,-11596.068695976124
26,9057.330273533036,60.0,593.8732758325676,5.0,520.0,-11522.195420143556
26,9048.589925552353,47.557603342061334,300.0,5.0,520.0,-11742.195420143556
26,9063.855054251993,96.3246181246582,237.78801671030666,5.0,520.0,-12024.40740343325
26,9035.97908953476,120.0,481.623090623291,5.0,520.0,-12062.78431280996
26,8975.965634153019,140.0,600.0,5.0,520.0,-11982.78431280996
26,8903.809344928086,128.4544295368736,700.0,5.0,520.0,-11802.78431280996
26,8840.895457384138,96.51394261033103,642.2721476843681,5.0,520.0,-11680.51216512559
26,8815.76362043677,100.0,482.5697130516551,5.0,520.0,-11717.942452073936
26,8775.900734484092,120.0,500.0,5.0,520.0,-11737.942452073936
26,8701.577844744019,101.89405505366017,600.0,5.0,520.0,-11657.942452073936
26,8650.631640340958,120.0,509.47027526830084,5.0,520.0,-11668.472176805635
26,8584.069944868545,122.27647414612787,600.0,5.0,520.0,-11588.472176805635
26,8521.008617214928,94.32033067205685,611.3823707306393,5.0,520.0,-11497.089806074995
26,8496.404271456366,46.97520063995788,471.6016533602843,5.0,520.0,-11545.48815271471
26,8521.624163548815,99.40459617476083,234.87600319978944,5.0,520.0,-11830.61214951492
26,8494.442774108327,110.71010139194948,497.0229808738041,5.0,520.0,-11853.589168641116
26,8448.538454051222,81.67238662372883,553.5505069597474,5.0,520.0,-11820.038661681368
26,8437.125832797838,86.42707067220181,408.3619331186441,5.0,520.0,-11931.676728562725
