nb_trawlers,fish_stock,capture,income,price,fleet_maintenance_cost,capital
28,0.0,0.0,0.0,5.0,0.0,100.0
28,9793.636658286961,55.393005808469546,0.0,5.0,560.0,-460.0
28,9860.129855167028,76.77653669256733,276.96502904234774,5.0,560.0,-743.0349709576523
28,9947.053879242725,0.0,383.88268346283667,5.0,560.0,-919.1522874948156
28,10115.887809485857,0.0,0.0,5.0,560.0,-1479.1522874948155
28,10290.833921564526,0.0,0.0,5.0,560.0,-2039.1522874948155
28,10456.416986617034,42.315063712382155,0.0,5.0,560.0,-2599.1522874948155
28,10567.754961768254,0.0,211.57531856191076,5.0,560.0,-2947.5769689329045
28,10711.663798039644,3.870480980228547,0.0,5.0,560.0,-3507.5769689329045
28,10842.16344800027,0.0,19.352404901142734,5.0,560.0,-4048.2245640317615
28,10975.504555302212,0.0,0.0,5.0,560.0,-4608.2245640317615
28,11102.047266460471,20.0,0.0,5.0,560.0,-5168.2245640317615
28,11198.300247506391,20.0,100.0,5.0,560.0,-5628.2245640317615
28,11289.580781763032,124.48429793792245,100.0,5.0,560.0,-6088.2245640317615
28,11277.986327129318,41.691460003326696,622.4214896896121,5.0,560.0,-6025.80307434215
28,11351.207179365145,47.8734063815815,208.45730001663347,5.0,560.0,-6377.345774325516
28,11430.060937773911,124.6952321886058,239.36703190790752,5.0,560.0,-6697.978742417608
28,11436.499165748039,103.54401209272912,623.476160943029,5.0,560.0,-6634.5025814745795
28,11462.387817370505,185.45314669134922,517.7200604636456,5.0,560.0,-6676.782521010934
28,11421.442499222087,175.59459039475925,927.2657334567461,5.0,560.0,-6309.516787554188
28,11386.725403164308,43.82893486809062,877.9729519737962,5.0,560.0,-5991.543835580393
28,11475.540578034925,0.0,219.1446743404531,5.0,560.0,-6332.3991612399395
28,11599.478609937205,0.0,0.0,5.0,560.0,-6892.3991612399395
28,11720.626306019512,0.0,0.0,5.0,560.0,-7452.3991612399395
28,11844.231558624027,0.0,0.0,5.0,560.0,-8012.3991612399395
28,11964.731004290748,0.0,0.0,5.0,560.0,-8572.39916123994
28,12084.856452221708,0.0,0.0,5.0,560.0,-9132.39916123994
28,12192.838578728379,0.0,0.0,5.0,560.0,-9692.39916123994
28,12304.594070625213,0.0,0.0,5.0,560.0,-10252.39916123994
28,12401.21979420801,0.0,0.0,5.0,560.0,-10812.39916123994
28,12514.081435830682,0.0,0.0,5.0,560.0,-11372.39916123994
28,12598.124416064633,0.0,0.0,5.0,560.0,-11932.39916123994
