nb_trawlers,fish_stock,capture,income,price,fleet_maintenance_cost,capital,net_profit
30,5753.250877642009,0.0,0.0,1.0,22.5,77.5,-22.5
30,6271.043456629791,0.0,0.0,1.0,22.5,55.0,-22.5
30,6089.11430923752,0.0,0.0,1.0,22.5,32.5,-22.5
30,5949.507045618926,0.0,0.0,1.0,22.5,10.0,-22.5
30,5848.026984495911,0.0,0.0,1.0,22.5,-12.5,-22.5
30,5756.576872909861,0.0,0.0,1.0,22.5,-35.0,-22.5
30,5680.000297992332,0.0,0.0,1.0,22.5,-57.5,-22.5
30,5624.559414823992,0.0,0.0,1.0,22.5,-80.0,-22.5
30,5581.029916268853,0.0,0.0,1.0,22.5,-102.5,-22.5
30,5545.009809920919,0.0,0.0,1.0,22.5,-125.0,-22.5
30,5509.416905002477,0.0,0.0,1.0,22.5,-147.5,-22.5
30,5486.614169951574,0.0,0.0,1.0,22.5,-170.0,-22.5
30,5461.907648018698,0.0,0.0,1.0,22.5,-192.5,-22.5
30,5443.502341308017,0.0,0.0,1.0,22.5,-215.0,-22.5
30,5429.596830221741,0.0,0.0,1.0,22.5,-237.5,-22.5
30,5420.001181350374,0.0,0.0,1.0,22.5,-260.0,-22.5
30,5417.265145080667,0.0,0.0,1.0,22.5,-282.5,-22.5
30,5417.344161204517,0.0,0.0,1.0,22.5,-305.0,-22.5
30,5418.770540757137,0.0,0.0,1.0,22.5,-327.5,-22.5
30,5422.695906348904,0.0,0.0,1.0,22.5,-350.0,-22.5
30,5414.405412200052,0.0,0.0,1.0,22.5,-372.5,-22.5
30,5410.611091320762,0.0,0.0,1.0,22.5,-395.0,-22.5
30,5411.796554269655,0.0,0.0,1.0,22.5,-417.5,-22.5
30,5419.7016368816285,0.0,0.0,1.0,22.5,-440.0,-22.5
30,5428.267839432961,0.0,0.0,1.0,22.5,-462.5,-22.5
30,5435.614759357915,0.0,0.0,1.0,22.5,-485.0,-22.5
30,5443.388372499745,0.0,0.0,1.0,22.5,-507.5,-22.5
30,5450.350286959953,0.0,0.0,1.0,22.5,-530.0,-22.5
30,5450.761398766582,0.0,0.0,1.0,22.5,-552.5,-22.5
30,5453.0662177231725,0.0,0.0,1.0,22.5,-575.0,-22.5
30,5438.170508624732,0.0,0.0,1.0,22.5,-597.5,-22.5
30,5424.349165745423,0.0,0.0,1.0,22.5,-620.0,-22.5
30,5415.942079089485,0.0,0.0,1.0,22.5,-642.5,-22.5
30,5403.774761613965,0.0,0.0,1.0,22.5,-665.0,-22.5
30,5381.444287614921,0.0,0.0,1.0,22.5,-687.5,-22.5
30,5365.58281577983,0.0,0.0,1.0,22.5,-710.0,-22.5
30,5360.886635754905,0.0,0.0,1.0,22.5,-732.5,-22.5
30,5358.857120963619,0.0,0.0,1.0,22.5,-755.0,-22.5
30,5361.245344340842,0.0,0.0,1.0,22.5,-777.5,-22.5
30,5368.158030218816,0.0,0.0,1.0,22.5,-800.0,-22.5
30,5374.178750452575,0.0,0.0,1.0,22.5,-822.5,-22.5
30,5377.89247050927,0.0,0.0,1.0,22.5,-845.0,-22.5
30,5381.3932318549505,0.0,0.0,1.0,22.5,-867.5,-22.5
30,5384.647962854941,0.0,0.0,1.0,22.5,-890.0,-22.5
30,5385.398773632104,0.0,0.0,1.0,22.5,-912.5,-22.5
30,5384.784121118606,0.0,0.0,1.0,22.5,-935.0,-22.5
30,5383.476990380076,0.0,0.0,1.0,22.5,-957.5,-22.5
30,5385.798048181349,0.0,0.0,1.0,22.5,-980.0,-22.5
30,5390.009099680096,0.0,0.0,1.0,22.5,-1002.5,-22.5
30,5392.990922640323,0.0,0.0,1.0,22.5,-1025.0,-22.5
30,5397.681438565677,1.4,1.4,1.0,22.5,-1046.1,-21.1
30,5401.198708945361,2.8,2.8,1.0,22.5,-1065.8,-19.7
30,5406.222166008195,2.8,2.8,1.0,22.5,-1085.5,-19.7
30,5412.291998270391,2.8,2.8,1.0,22.5,-1105.2,-19.7
30,5417.188991209147,2.8,2.8,1.0,22.5,-1124.9,-19.7
30,5435.499252566976,2.8,2.8,1.0,22.5,-1144.6000000000001,-19.7
30,5447.99041845283,2.0858267608747223,2.0858267608747223,1.0,22.5,-1165.0141732391255,-20.414173239125276
30,5450.612792896311,1.4,1.4,1.0,22.5,-1186.1141732391254,-21.1
30,5444.034039714794,1.4,1.4,1.0,22.5,-1207.2141732391253,-21.1
30,5435.837920818225,1.4,1.4,1.0,22.5,-1228.3141732391252,-21.1
30,5436.510085674364,1.4,1.4,1.0,22.5,-1249.4141732391251,-21.1
30,5443.574351027394,1.4,1.4,1.0,22.5,-1270.514173239125,-21.1
30,5453.229993785403,1.4,1.4,1.0,22.5,-1291.614173239125,-21.1
30,5451.01705242487,1.4,1.4,1.0,22.5,-1312.7141732391249,-21.1
30,5457.472763682716,1.4,1.4,1.0,22.5,-1333.8141732391248,-21.1
30,5458.520291764665,1.4,1.4,1.0,22.5,-1354.9141732391247,-21.1
30,5466.467213803655,1.4,1.4,1.0,22.5,-1376.0141732391246,-21.1
30,5472.5254128214665,1.4,1.4,1.0,22.5,-1397.1141732391245,-21.1
30,5480.137587327697,1.4,1.4,1.0,22.5,-1418.2141732391244,-21.1
30,5486.903265485512,1.4,1.4,1.0,22.5,-1439.3141732391243,-21.1
30,5496.78420030313,1.4,1.4,1.0,22.5,-1460.4141732391242,-21.1
30,5507.251913913223,1.4,1.4,1.0,22.5,-1481.5141732391241,-21.1
30,5493.148781604857,1.4,1.4,1.0,22.5,-1502.614173239124,-21.1
30,5476.250012261362,1.4,1.4,1.0,22.5,-1523.714173239124,-21.1
