fish_stock,capture,income,nb_trawlers
0.0,0.0,0.0,5
7737.3775650550215,0.0,0.0,5
7723.3952780613845,20.0,-100.0,5
7754.564960324983,20.0,-100.0,5
7810.937369108386,20.0,-100.0,5
7874.77986923729,20.0,-100.0,5
7965.5137708872435,20.0,-100.0,5
8058.234452474788,20.0,-100.0,5
8145.243685964819,20.0,-100.0,5
8232.41362507486,14.586860688891253,-100.0,5
8330.802289671827,20.0,-127.06569655554374,5
8426.18482674096,20.0,-127.06569655554374,5
8526.305331689171,20.0,-127.06569655554374,5
8622.250440903845,10.937334016720467,-127.06569655554374,5
8738.647529218695,0.0,-172.37902647194142,5
8855.672586792038,0.0,-272.3790264719414,5
8939.390902365802,0.0,-372.3790264719414,5
9007.255763047062,0.0,-472.3790264719414,5
9083.391142101156,20.0,-572.3790264719414,5
9150.112039557027,20.0,-572.3790264719414,5
9234.58743019878,20.0,-572.3790264719414,5
9321.790568514743,20.0,-572.3790264719414,5
9400.102549671856,20.0,-572.3790264719414,5
9475.142083731369,17.54795283704089,-572.3790264719414,5
9562.63799240268,0.0,-584.639262286737,5
9667.064347874364,0.0,-684.639262286737,5
9782.995100702796,0.0,-784.639262286737,5
9904.454488661868,0.0,-884.639262286737,5
10026.097814642873,0.0,-984.639262286737,5
10161.79241604015,0.0,-1084.639262286737,5
10283.112867828335,0.0,-1184.639262286737,5
10411.959861843123,0.0,-1284.639262286737,5
10535.51411570613,0.0,-1384.639262286737,5
10639.328403321197,0.0,-1484.639262286737,5
10739.006728867766,20.0,-1584.639262286737,5
10812.864170400388,20.0,-1584.639262286737,5
10870.387163781399,20.0,-1584.639262286737,5
10906.496560792819,20.0,-1584.639262286737,5
10935.56752814217,20.0,-1584.639262286737,5
10945.087940435325,60.0,-1584.639262286737,5
10932.503379769912,60.0,-1384.639262286737,5
10910.518759853196,60.0,-1184.639262286737,5
10894.185446218633,60.0,-984.639262286737,5
10870.666377293963,26.421304665033343,-784.639262286737,5
10867.513699250905,28.55502001877665,-752.5327389615703,5
10841.582592421926,0.0,-709.7576388676871,5
10861.140423416145,0.0,-809.7576388676871,5
10873.724703859862,0.0,-909.7576388676871,5
10913.19492565857,0.0,-1009.7576388676871,5
10961.910460086288,29.49713377461925,-1109.757638867687,5
11000.870784777191,20.0,-1062.2719699945908,5
11039.585714820907,20.0,-1062.2719699945908,5
11074.193674744101,20.0,-1062.2719699945908,5
11115.924533362171,40.0,-1062.2719699945908,5
11162.612683622809,40.0,-962.2719699945908,5
11202.765799430861,58.620884021530614,-862.2719699945908,5
11213.420501171911,60.0,-669.1675498869376,5
11241.378132855472,58.9751069386307,-469.16754988693765,5
11289.003599750007,60.0,-274.2920151937841,5
11315.903136971634,60.0,-74.2920151937841,5
11336.112170318154,30.63111721546646,125.7079848062159,5
11385.936884683593,20.0,178.86357088354822,5
11456.14798799378,20.0,178.86357088354822,5
11531.602255620988,20.0,178.86357088354822,5
11587.923382685605,11.323441638564532,178.86357088354822,5
11648.549062896866,0.0,135.48077907637088,5
11729.908713907695,40.0,35.48077907637088,5
11786.71358837331,40.0,135.48077907637088,5
11842.104247877805,40.0,235.48077907637088,5
11891.489939825007,40.0,335.4807790763709,5
11936.196044216505,10.638229127893503,435.4807790763709,5
11996.545793208434,20.0,388.6719247158384,5
12061.603914310135,20.0,388.6719247158384,5
12133.704018304028,40.0,388.6719247158384,5
12181.661035109288,40.0,488.6719247158384,5
12247.560975765373,4.504534698016455,588.6719247158384,5
12364.446472185256,20.0,511.19459820592067,5
12467.43286684479,20.0,511.19459820592067,5
12574.0195250723,20.0,511.19459820592067,5
12688.501671115164,17.421334892359745,511.19459820592067,5
12771.574912519527,0.0,498.3012726677194,5
12879.14149421454,0.0,398.3012726677194,5
12970.123450360014,20.0,298.3012726677194,5
13038.357597033722,20.0,298.3012726677194,5
13063.305758997669,20.0,298.3012726677194,5
13118.469220837447,20.0,298.3012726677194,5
13178.907736056652,40.0,298.3012726677194,5
13198.562817882426,40.0,398.3012726677194,5
13229.041519229562,40.0,498.3012726677194,5
13274.215929676613,60.0,598.3012726677193,5
13309.211012873895,64.54573983915841,798.3012726677193,5
13354.664906538459,65.48442178540397,1021.0299718635114,5
