nb_trawlers,fish_stock,capture,income,price,fleet_maintenance_cost,capital,net_profit
8,6030.162479272046,0.0,0.0,1.0,6.0,94.0,-6.0
8,6572.87710240653,0.0,0.0,1.0,6.0,88.0,-6.0
8,6414.497237717004,0.0,0.0,1.0,6.0,82.0,-6.0
8,6288.890070276978,0.0,0.0,1.0,6.0,76.0,-6.0
8,6189.78117551693,0.0,0.0,1.0,6.0,70.0,-6.0
8,6099.467768834133,0.0,0.0,1.0,6.0,64.0,-6.0
8,6026.2233416610125,0.0,0.0,1.0,6.0,58.0,-6.0
8,5968.031146815011,0.0,0.0,1.0,6.0,52.0,-6.0
8,5918.814124922201,0.0,0.0,1.0,6.0,46.0,-6.0
8,5879.0677516419955,0.0,0.0,1.0,6.0,40.0,-6.0
8,5847.741716910709,0.0,0.0,1.0,6.0,34.0,-6.0
8,5818.274455924498,0.0,0.0,1.0,6.0,28.0,-6.0
8,5792.699662943538,0.0,0.0,1.0,6.0,22.0,-6.0
8,5768.7301352682125,0.0,0.0,1.0,6.0,16.0,-6.0
8,5750.800565923291,0.0,0.0,1.0,6.0,10.0,-6.0
8,5735.667821937419,0.0,0.0,1.0,6.0,4.0,-6.0
8,5723.447948369931,0.0,0.0,1.0,6.0,-2.0,-6.0
8,5715.93380707293,0.0,0.0,1.0,6.0,-8.0,-6.0
8,5709.643734098899,0.0,0.0,1.0,6.0,-14.0,-6.0
8,5703.998087019884,0.0,0.0,1.0,6.0,-20.0,-6.0
8,5691.364052434471,0.0,0.0,1.0,6.0,-26.0,-6.0
8,5684.535348816797,0.0,0.0,1.0,6.0,-32.0,-6.0
8,5680.44596793422,0.0,0.0,1.0,6.0,-38.0,-6.0
8,5674.003937903934,0.0,0.0,1.0,6.0,-44.0,-6.0
8,5671.936892872834,0.0,0.0,1.0,6.0,-50.0,-6.0
8,5671.126689053524,0.0,0.0,1.0,6.0,-56.0,-6.0
8,5673.275092527311,0.0,0.0,1.0,6.0,-62.0,-6.0
8,5672.249218987091,0.0,0.0,1.0,6.0,-68.0,-6.0
8,5673.124572539648,0.0,0.0,1.0,6.0,-74.0,-6.0
8,5673.136362797084,0.0,0.0,1.0,6.0,-80.0,-6.0
8,5677.215838011927,0.0,0.0,1.0,6.0,-86.0,-6.0
8,5680.443659590042,0.0,0.0,1.0,6.0,-92.0,-6.0
8,5681.356041106383,0.0,0.0,1.0,6.0,-98.0,-6.0
8,5682.354614691519,0.0,0.0,1.0,6.0,-104.0,-6.0
8,5683.084092439711,0.0,0.0,1.0,6.0,-110.0,-6.0
8,5685.765854449567,0.0,0.0,1.0,6.0,-116.0,-6.0
8,5687.883610598998,0.0,0.0,1.0,6.0,-122.0,-6.0
8,5687.072025009026,0.0,0.0,1.0,6.0,-128.0,-6.0
8,5687.708284973572,0.0,0.0,1.0,6.0,-134.0,-6.0
8,5691.776739887131,0.0,0.0,1.0,6.0,-140.0,-6.0
8,5688.973755549812,0.0,0.0,1.0,6.0,-146.0,-6.0
8,5685.782352186336,0.0,0.0,1.0,6.0,-152.0,-6.0
8,5685.122794991096,0.0,0.0,1.0,6.0,-158.0,-6.0
8,5678.9855554601945,0.0,0.0,1.0,6.0,-164.0,-6.0
8,5678.342847774537,0.0,0.0,1.0,6.0,-170.0,-6.0
8,5667.522702794739,1.2,1.2,1.0,6.0,-174.8,-4.8
8,5660.9548600189555,1.2,1.2,1.0,6.0,-179.60000000000002,-4.8
8,5644.147157597255,1.2,1.2,1.0,6.0,-184.40000000000003,-4.8
8,5635.326070254753,1.2,1.2,1.0,6.0,-189.20000000000005,-4.8
8,5620.861620866292,1.2,1.2,1.0,6.0,-194.00000000000006,-4.8
8,5616.427872848859,1.2,1.2,1.0,6.0,-198.80000000000007,-4.8
8,5607.258187939436,1.2,1.2,1.0,6.0,-203.60000000000008,-4.8
8,5590.647887404017,1.2,1.2,1.0,6.0,-208.4000000000001,-4.8
