nb_trawlers,fish_stock,capture,income,price,fleet_maintenance_cost,capital,net_profit
30,5859.672082899166,0.0,0.0,1.0,22.5,77.5,-22.5
30,6387.042570360088,0.0,0.0,1.0,22.5,55.0,-22.5
30,6167.3776088964905,0.0,0.0,1.0,22.5,32.5,-22.5
30,6000.754122974193,0.0,0.0,1.0,22.5,10.0,-22.5
30,5871.791198801733,0.0,0.0,1.0,22.5,-12.5,-22.5
30,5770.180851699292,0.0,0.0,1.0,22.5,-35.0,-22.5
30,5677.550721500256,0.0,0.0,1.0,22.5,-57.5,-22.5
30,5594.161280426294,0.0,0.0,1.0,22.5,-80.0,-22.5
30,5520.453722177185,0.0,0.0,1.0,22.5,-102.5,-22.5
30,5463.988734375757,0.0,0.0,1.0,22.5,-125.0,-22.5
30,5414.913083859641,0.0,0.0,1.0,22.5,-147.5,-22.5
30,5368.415619031104,0.0,0.0,1.0,22.5,-170.0,-22.5
30,5335.20200696794,0.0,0.0,1.0,22.5,-192.5,-22.5
30,5311.844466346321,0.0,0.0,1.0,22.5,-215.0,-22.5
30,5293.9798781733,0.0,0.0,1.0,22.5,-237.5,-22.5
30,5264.370454828091,0.0,0.0,1.0,22.5,-260.0,-22.5
30,5242.236196075756,0.0,0.0,1.0,22.5,-282.5,-22.5
30,5235.507098575267,1.2,1.2,1.0,22.5,-303.8,-21.3
30,5235.699386492989,1.2,1.2,1.0,22.5,-325.1,-21.3
30,5234.886530610403,1.2,1.2,1.0,22.5,-346.40000000000003,-21.3
30,5236.307492846248,1.2,1.2,1.0,22.5,-367.70000000000005,-21.3
30,5236.588369976392,1.2,1.2,1.0,22.5,-389.00000000000006,-21.3
30,5235.3008897658865,1.2,1.2,1.0,22.5,-410.30000000000007,-21.3
30,5238.847574377824,1.2,1.2,1.0,22.5,-431.6000000000001,-21.3
30,5243.164612913212,1.2,1.2,1.0,22.5,-452.9000000000001,-21.3
30,5248.910010241437,1.2,1.2,1.0,22.5,-474.2000000000001,-21.3
30,5262.104659561635,1.2,1.2,1.0,22.5,-495.5000000000001,-21.3
30,5282.094725404954,1.2,1.2,1.0,22.5,-516.8000000000001,-21.3
30,5280.743098311324,1.2,1.2,1.0,22.5,-538.1,-21.3
30,5283.176937833552,1.2,1.2,1.0,22.5,-559.4,-21.3
30,5287.02053748752,1.2,1.2,1.0,22.5,-580.6999999999999,-21.3
30,5297.183944027347,1.2,1.2,1.0,22.5,-601.9999999999999,-21.3
30,5306.717617154177,1.2,1.2,1.0,22.5,-623.2999999999998,-21.3
30,5319.370461296634,1.2,1.2,1.0,22.5,-644.5999999999998,-21.3
30,5331.637376318607,2.4,2.4,1.0,22.5,-664.6999999999998,-20.1
30,5341.715207468286,2.4,2.4,1.0,22.5,-684.7999999999998,-20.1
30,5352.187362152321,2.4,2.4,1.0,22.5,-704.8999999999999,-20.1
