nb_trawlers,fish_stock,capture,income,price,fleet_maintenance_cost,capital,net_profit
14,6136.04275050824,0.0,0.0,1.0,10.5,89.5,-10.5
14,6688.286598053979,0.0,0.0,1.0,10.5,79.0,-10.5
14,6457.007180257476,0.0,0.0,1.0,10.5,68.5,-10.5
14,6283.3911698923675,0.0,0.0,1.0,10.5,58.0,-10.5
14,6170.989811909095,0.0,0.0,1.0,10.5,47.5,-10.5
14,6084.720511192447,0.0,0.0,1.0,10.5,37.0,-10.5
14,5993.858996802217,0.0,0.0,1.0,10.5,26.5,-10.5
14,5927.503096308033,2.4,2.4,1.0,10.5,18.4,-8.1
14,5874.407930066714,2.4,2.4,1.0,10.5,10.299999999999999,-8.1
14,5816.065336871897,2.4,2.4,1.0,10.5,2.1999999999999993,-8.1
14,5771.1059183094485,2.4,2.4,1.0,10.5,-5.9,-8.1
14,5737.53405301256,2.4,2.4,1.0,10.5,-14.0,-8.1
14,5710.543107968808,2.4,2.4,1.0,10.5,-22.1,-8.1
14,5692.203239925802,2.4,2.4,1.0,10.5,-30.200000000000003,-8.1
14,5677.529191935972,2.4,2.4,1.0,10.5,-38.300000000000004,-8.1
14,5665.8344828518475,2.4,2.4,1.0,10.5,-46.400000000000006,-8.1
14,5655.532930376625,3.5999999999999996,3.5999999999999996,1.0,10.5,-53.300000000000004,-6.9
14,5648.471923159026,3.5999999999999996,3.5999999999999996,1.0,10.5,-60.2,-6.9
14,5646.011525496962,3.5999999999999996,3.5999999999999996,1.0,10.5,-67.10000000000001,-6.9
14,5644.253315631183,3.5999999999999996,3.5999999999999996,1.0,10.5,-74.00000000000001,-6.9
14,5642.593102814649,3.5999999999999996,3.5999999999999996,1.0,10.5,-80.90000000000002,-6.9
14,5634.869079433003,3.5999999999999996,3.5999999999999996,1.0,10.5,-87.80000000000003,-6.9
14,5625.057052101422,3.5999999999999996,3.5999999999999996,1.0,10.5,-94.70000000000003,-6.9
14,5605.941062897973,3.5999999999999996,3.5999999999999996,1.0,10.5,-101.60000000000004,-6.9
14,5596.699230586928,3.5999999999999996,3.5999999999999996,1.0,10.5,-108.50000000000004,-6.9
14,5584.2938332506765,3.5999999999999996,3.5999999999999996,1.0,10.5,-115.40000000000005,-6.9
14,5582.068424718186,1.9992876624240377,1.9992876624240377,1.0,10.5,-123.90071233757601,-8.500712337575962
14,5568.984841119198,1.2,1.2,1.0,10.5,-133.20071233757602,-9.3
14,5551.9038220494585,1.2,1.2,1.0,10.5,-142.50071233757603,-9.3
14,5543.023682797538,1.2,1.2,1.0,10.5,-151.80071233757604,-9.3
14,5537.870453779244,1.2,1.2,1.0,10.5,-161.10071233757606,-9.3
14,5538.560005946437,1.2,1.2,1.0,10.5,-170.40071233757607,-9.3
14,5545.622924900631,1.2,1.2,1.0,10.5,-179.70071233757608,-9.3
14,5551.409594725939,1.2,1.2,1.0,10.5,-189.0007123375761,-9.3
14,5560.032003559101,1.2,1.2,1.0,10.5,-198.3007123375761,-9.3
