nb_trawlers,fish_stock,capture,income,price,fleet_maintenance_cost,capital,net_profit
16,6574.873759042744,0.0,0.0,1.0,12.0,88.0,-12.0
16,7166.612397356586,0.0,0.0,1.0,12.0,76.0,-12.0
16,6821.317582558503,0.0,0.0,1.0,12.0,64.0,-12.0
16,6573.7636136377905,0.0,0.0,1.0,12.0,52.0,-12.0
16,6375.625948757069,0.0,0.0,1.0,12.0,40.0,-12.0
16,6208.561016742789,0.0,0.0,1.0,12.0,28.0,-12.0
16,6081.376552970661,0.0,0.0,1.0,12.0,16.0,-12.0
16,5987.41825207893,0.0,0.0,1.0,12.0,4.0,-12.0
16,5901.63500496221,0.0,0.0,1.0,12.0,-8.0,-12.0
16,5825.402043045355,0.0,0.0,1.0,12.0,-20.0,-12.0
16,5764.664837350257,0.0,0.0,1.0,12.0,-32.0,-12.0
16,5699.379874963206,0.0,0.0,1.0,12.0,-44.0,-12.0
16,5651.133068338491,0.0,0.0,1.0,12.0,-56.0,-12.0
16,5612.853228785957,0.0,0.0,1.0,12.0,-68.0,-12.0
16,5576.71522874699,0.0,0.0,1.0,12.0,-80.0,-12.0
16,5549.863600325506,1.2,1.2,1.0,12.0,-90.8,-10.8
16,5522.355285526485,1.2,1.2,1.0,12.0,-101.6,-10.8
16,5487.874183556632,2.4,2.4,1.0,12.0,-111.19999999999999,-9.6
16,5439.899836302745,2.016662566211634,2.016662566211634,1.0,12.0,-121.18333743378835,-9.983337433788366
16,5405.46062101061,0.8974621101759251,0.8974621101759251,1.0,12.0,-132.28587532361243,-11.102537889824076
16,5363.005058776284,0.0,0.0,1.0,12.0,-144.28587532361243,-12.0
16,5328.218525130907,0.0,0.0,1.0,12.0,-156.28587532361243,-12.0
16,5303.06292147146,0.0,0.0,1.0,12.0,-168.28587532361243,-12.0
16,5285.663546386117,0.0,0.0,1.0,12.0,-180.28587532361243,-12.0
16,5274.448242356821,0.0,0.0,1.0,12.0,-192.28587532361243,-12.0
16,5268.810190221073,0.0,0.0,1.0,12.0,-204.28587532361243,-12.0
16,5267.228060211075,0.0,0.0,1.0,12.0,-216.28587532361243,-12.0
16,5264.920835851624,0.0,0.0,1.0,12.0,-228.28587532361243,-12.0
16,5267.27877017345,0.0,0.0,1.0,12.0,-240.28587532361243,-12.0
16,5265.993375196766,0.0,0.0,1.0,12.0,-252.28587532361243,-12.0
16,5270.457440008207,0.0,0.0,1.0,12.0,-264.28587532361246,-12.0
16,5271.211005144521,0.0,0.0,1.0,12.0,-276.28587532361246,-12.0
16,5266.348424923232,0.0,0.0,1.0,12.0,-288.28587532361246,-12.0
16,5259.869259192415,0.0,0.0,1.0,12.0,-300.28587532361246,-12.0
16,5255.792372199776,0.0,0.0,1.0,12.0,-312.28587532361246,-12.0
16,5250.402466943718,0.0,0.0,1.0,12.0,-324.28587532361246,-12.0
16,5249.828146371812,0.0,0.0,1.0,12.0,-336.28587532361246,-12.0
16,5253.587726660328,0.0,0.0,1.0,12.0,-348.28587532361246,-12.0
16,5257.251466483712,0.0,0.0,1.0,12.0,-360.28587532361246,-12.0
16,5243.668676940626,0.0,0.0,1.0,12.0,-372.28587532361246,-12.0
16,5229.110084741678,0.0,0.0,1.0,12.0,-384.28587532361246,-12.0
16,5223.789691610899,0.0,0.0,1.0,12.0,-396.28587532361246,-12.0
16,5214.49394040087,0.0,0.0,1.0,12.0,-408.28587532361246,-12.0
16,5211.942020107743,0.0,0.0,1.0,12.0,-420.28587532361246,-12.0
16,5198.512271863364,0.0,0.0,1.0,12.0,-432.28587532361246,-12.0
16,5193.532203443532,0.0,0.0,1.0,12.0,-444.28587532361246,-12.0
16,5195.0743027769095,0.0,0.0,1.0,12.0,-456.28587532361246,-12.0
16,5202.091924250312,0.0,0.0,1.0,12.0,-468.28587532361246,-12.0
16,5199.096652763042,0.0,0.0,1.0,12.0,-480.28587532361246,-12.0
16,5206.784473048297,0.0,0.0,1.0,12.0,-492.28587532361246,-12.0
16,5216.451229418138,0.0,0.0,1.0,12.0,-504.28587532361246,-12.0
16,5230.687901175275,0.0,0.0,1.0,12.0,-516.2858753236125,-12.0
16,5248.040805867414,0.0,0.0,1.0,12.0,-528.2858753236125,-12.0
16,5264.426532029001,0.0,0.0,1.0,12.0,-540.2858753236125,-12.0
16,5283.354514645231,0.0,0.0,1.0,12.0,-552.2858753236125,-12.0
16,5301.730811155618,0.0,0.0,1.0,12.0,-564.2858753236125,-12.0
16,5323.863469886281,0.0,0.0,1.0,12.0,-576.2858753236125,-12.0
16,5339.9103776594275,0.0,0.0,1.0,12.0,-588.2858753236125,-12.0
16,5351.89415085494,0.0,0.0,1.0,12.0,-600.2858753236125,-12.0
16,5366.3454641692415,0.0,0.0,1.0,12.0,-612.2858753236125,-12.0
16,5379.952276317651,0.0,0.0,1.0,12.0,-624.2858753236125,-12.0
16,5394.885636529105,0.0,0.0,1.0,12.0,-636.2858753236125,-12.0
16,5410.673493497014,0.0,0.0,1.0,12.0,-648.2858753236125,-12.0
16,5430.553001243485,0.0,0.0,1.0,12.0,-660.2858753236125,-12.0
16,5449.1070815300245,0.0,0.0,1.0,12.0,-672.2858753236125,-12.0
16,5464.2478124200625,0.0,0.0,1.0,12.0,-684.2858753236125,-12.0
16,5479.6079821754765,1.2,1.2,1.0,12.0,-695.0858753236124,-10.8
16,5495.931945065214,1.2,1.2,1.0,12.0,-705.8858753236124,-10.8
16,5501.987063537026,1.2,1.2,1.0,12.0,-716.6858753236123,-10.8
